controller_log_time,intersection_id,controller_device_id,response_time_ms,error_count,reboot_count,cpu_temp,spat_send_count,spat_fail_count,avg_latency_ms,comm_fail_count,connected_vehicle_count,severity,failure_event
2026-04-13 10:16:39,INT_005,CTRL_002,55.9,1,1,46.3,120,4,37.4,1,32,정상,0
2026-04-13 10:16:39,INT_001,CTRL_004,49.5,2,0,48.0,111,1,42.1,2,42,정상,0
2026-04-13 10:16:39,INT_004,CTRL_005,49.3,1,0,52.5,93,3,44.8,0,8,정상,0
2026-04-13 10:16:39,INT_002,CTRL_005,49.8,0,1,47.5,101,3,43.6,0,41,정상,0
2026-04-13 10:16:39,INT_005,CTRL_007,36.0,2,0,45.0,112,2,15.7,3,14,정상,0
2026-04-13 10:16:39,INT_003,CTRL_003,35.2,1,1,47.8,87,3,30.6,2,27,정상,0
2026-04-13 10:16:39,INT_005,CTRL_005,53.0,0,1,42.6,89,0,48.9,1,9,정상,0
2026-04-13 10:16:39,INT_002,CTRL_007,49.6,1,1,40.9,102,3,36.8,0,41,정상,0
2026-04-13 10:16:39,INT_001,CTRL_006,48.4,1,0,41.9,118,2,47.7,1,45,정상,0
2026-04-13 10:16:39,INT_005,CTRL_006,27.4,0,0,35.5,110,3,29.0,0,40,정상,0
2026-04-13 10:16:40,INT_005,CTRL_006,38.7,2,0,43.6,113,3,31.7,0,37,정상,0
2026-04-13 10:16:40,INT_001,CTRL_001,49.8,0,1,33.7,109,2,35.3,3,21,정상,0
2026-04-13 10:16:40,INT_004,CTRL_002,50.0,2,1,39.4,82,2,32.7,2,36,정상,0
2026-04-13 10:16:40,INT_002,CTRL_009,64.6,2,0,38.9,105,0,37.6,1,27,정상,0
2026-04-13 10:16:40,INT_001,CTRL_009,34.4,2,0,43.4,105,0,24.4,0,27,정상,0
2026-04-13 10:16:40,INT_003,CTRL_009,39.8,1,0,42.6,115,3,34.6,3,24,정상,0
2026-04-13 10:16:40,INT_003,CTRL_004,49.7,1,1,49.0,106,3,14.4,2,18,정상,0
2026-04-13 10:16:40,INT_005,CTRL_006,54.9,2,0,42.1,105,3,48.3,2,41,정상,0
2026-04-13 10:16:40,INT_002,CTRL_010,44.5,1,0,38.1,89,1,31.6,1,19,정상,0
2026-04-13 10:16:40,INT_002,CTRL_010,29.0,0,1,48.6,106,0,26.0,0,35,정상,0
2026-04-13 10:16:41,INT_001,CTRL_005,56.4,2,1,44.8,116,4,46.4,1,27,정상,0
2026-04-13 10:16:41,INT_003,CTRL_009,61.7,2,0,41.9,101,1,38.7,2,10,정상,0
2026-04-13 10:16:41,INT_001,CTRL_008,56.1,1,1,38.4,85,4,34.2,3,31,정상,0
2026-04-13 10:16:41,INT_005,CTRL_010,40.3,1,0,42.3,115,0,38.7,1,27,정상,0
2026-04-13 10:16:41,INT_001,CTRL_005,36.2,0,0,41.8,116,0,33.5,3,28,정상,0
2026-04-13 10:16:41,INT_001,CTRL_005,70.9,1,1,44.6,94,1,50.9,1,44,정상,0
2026-04-13 10:16:41,INT_005,CTRL_002,37.8,1,0,45.3,96,2,38.5,0,11,정상,0
2026-04-13 10:16:41,INT_005,CTRL_008,28.3,2,1,38.1,99,1,22.6,2,14,정상,0
2026-04-13 10:16:41,INT_003,CTRL_009,62.4,1,1,44.7,120,2,46.6,0,12,정상,0
