controller_log_time,intersection_id,controller_device_id,response_time_ms,error_count,reboot_count,cpu_temp,spat_send_count,spat_fail_count,avg_latency_ms,comm_fail_count,connected_vehicle_count,severity,failure_event
2026-04-13 10:27:27,INT_001,CTRL_009,34.2,2,0,40.8,86,4,17.3,3,9,정상,0
2026-04-13 10:27:27,INT_005,CTRL_003,59.1,1,1,44.6,88,3,30.7,3,19,정상,0
2026-04-13 10:27:27,INT_002,CTRL_004,44.1,1,0,41.6,97,3,32.1,1,27,정상,0
2026-04-13 10:27:27,INT_003,CTRL_003,50.0,1,1,44.5,117,0,25.8,3,15,정상,0
2026-04-13 10:27:27,INT_005,CTRL_008,54.8,2,1,44.7,111,3,35.7,3,40,정상,0
2026-04-13 10:27:27,INT_004,CTRL_002,41.0,1,1,44.9,118,3,19.7,1,12,정상,0
2026-04-13 10:27:27,INT_004,CTRL_005,47.5,1,0,39.1,112,3,39.0,2,15,정상,0
2026-04-13 10:27:27,INT_005,CTRL_005,65.6,2,1,46.5,106,4,54.1,3,36,정상,0
2026-04-13 10:27:27,INT_001,CTRL_004,52.3,0,1,44.0,90,3,33.0,1,18,정상,0
2026-04-13 10:27:27,INT_002,CTRL_010,53.0,2,1,46.2,102,2,35.5,3,8,정상,0
2026-04-13 10:27:28,INT_005,CTRL_005,51.3,1,0,45.3,106,0,40.4,0,42,정상,0
2026-04-13 10:27:28,INT_003,CTRL_009,30.7,1,0,41.0,105,2,41.6,3,38,정상,0
2026-04-13 10:27:28,INT_004,CTRL_001,34.1,0,1,43.1,110,3,31.5,2,40,정상,0
2026-04-13 10:27:28,INT_003,CTRL_006,44.6,0,1,46.2,103,0,28.2,3,44,정상,0
2026-04-13 10:27:28,INT_004,CTRL_005,55.0,0,0,44.7,120,1,52.0,0,33,정상,0
2026-04-13 10:27:28,INT_001,CTRL_010,60.5,2,1,40.0,113,4,42.9,1,44,정상,0
2026-04-13 10:27:28,INT_003,CTRL_001,47.5,2,1,40.6,96,3,32.1,1,12,정상,0
2026-04-13 10:27:28,INT_002,CTRL_008,27.3,2,0,41.7,82,0,43.5,1,29,정상,0
2026-04-13 10:27:28,INT_003,CTRL_008,59.6,0,1,46.8,114,1,42.7,2,24,정상,0
2026-04-13 10:27:28,INT_002,CTRL_007,60.7,2,0,50.6,108,0,50.3,0,15,정상,0
2026-04-13 10:27:29,INT_003,CTRL_010,41.7,2,0,45.0,96,3,38.9,3,43,정상,0
2026-04-13 10:27:29,INT_005,CTRL_004,38.6,0,1,41.3,90,4,31.2,1,18,정상,0
2026-04-13 10:27:29,INT_001,CTRL_007,33.9,1,0,46.9,106,3,41.3,1,15,정상,0
2026-04-13 10:27:29,INT_001,CTRL_007,24.9,1,0,47.7,110,1,49.2,1,30,정상,0
2026-04-13 10:27:29,INT_003,CTRL_010,47.2,0,1,52.1,87,3,42.6,2,31,정상,0
2026-04-13 10:27:29,INT_002,CTRL_009,45.8,0,1,42.0,96,1,41.4,0,24,정상,0
2026-04-13 10:27:29,INT_003,CTRL_003,44.8,2,1,49.9,83,1,30.1,0,34,정상,0
2026-04-13 10:27:29,INT_005,CTRL_003,40.2,2,1,42.4,104,0,23.4,0,29,정상,0
2026-04-13 10:27:29,INT_003,CTRL_001,44.8,2,1,41.4,88,1,19.2,2,23,정상,0
2026-04-13 10:27:29,INT_005,CTRL_009,49.3,0,1,47.0,100,3,28.9,2,34,정상,0
2026-04-13 10:27:30,INT_004,CTRL_010,46.9,0,1,42.6,99,2,50.6,2,34,정상,0
2026-04-13 10:27:30,INT_004,CTRL_009,50.3,2,0,45.5,104,3,32.3,0,34,정상,0
2026-04-13 10:27:30,INT_002,CTRL_008,44.0,2,0,43.4,93,2,35.7,3,29,정상,0
2026-04-13 10:27:30,INT_002,CTRL_008,47.8,0,1,44.2,82,0,35.8,0,26,정상,0
2026-04-13 10:27:30,INT_004,CTRL_008,40.5,0,1,49.2,115,3,33.4,3,25,정상,0
2026-04-13 10:27:30,INT_003,CTRL_004,39.0,2,1,46.2,83,3,24.8,0,22,정상,0
2026-04-13 10:27:30,INT_001,CTRL_006,36.6,0,0,39.6,87,0,37.3,1,28,정상,0
2026-04-13 10:27:30,INT_002,CTRL_002,45.6,2,1,39.3,93,1,23.7,0,15,정상,0
2026-04-13 10:27:30,INT_005,CTRL_006,67.1,1,1,39.6,84,4,46.1,1,44,정상,0
2026-04-13 10:27:30,INT_004,CTRL_009,64.8,1,1,49.1,116,2,38.8,0,24,정상,0
2026-04-13 10:27:31,INT_002,CTRL_008,55.0,2,0,42.9,117,2,55.1,2,32,정상,0
2026-04-13 10:27:31,INT_001,CTRL_001,44.6,1,0,44.5,95,4,31.9,2,9,정상,0
2026-04-13 10:27:31,INT_001,CTRL_002,61.6,0,1,47.8,87,4,31.1,3,12,정상,0
2026-04-13 10:27:31,INT_001,CTRL_007,39.0,0,0,51.0,113,3,48.9,3,42,정상,0
2026-04-13 10:27:31,INT_001,CTRL_006,38.1,2,1,43.4,107,1,31.2,0,19,정상,0
2026-04-13 10:27:31,INT_005,CTRL_008,65.6,0,1,41.9,99,1,41.8,0,16,정상,0
2026-04-13 10:27:31,INT_003,CTRL_005,67.7,2,0,46.8,113,1,42.2,1,16,정상,0
2026-04-13 10:27:31,INT_003,CTRL_008,46.7,1,1,39.9,117,0,34.3,0,16,정상,0
2026-04-13 10:27:31,INT_002,CTRL_001,46.5,0,1,51.1,96,1,42.3,0,13,정상,0
2026-04-13 10:27:31,INT_001,CTRL_002,39.6,2,0,47.9,109,0,18.1,3,35,정상,0
2026-04-13 10:27:32,INT_003,CTRL_002,74.2,1,1,50.4,118,1,35.3,0,23,정상,0
2026-04-13 10:27:32,INT_003,CTRL_008,28.3,2,0,47.5,101,2,37.1,1,23,정상,0
2026-04-13 10:27:32,INT_001,CTRL_003,60.3,2,0,39.0,119,0,40.0,3,42,정상,0
2026-04-13 10:27:32,INT_004,CTRL_010,48.7,0,1,42.2,84,1,42.2,0,12,정상,0
2026-04-13 10:27:32,INT_001,CTRL_005,50.2,1,1,52.4,116,4,49.1,2,45,정상,0
2026-04-13 10:27:32,INT_003,CTRL_006,48.7,1,0,45.0,96,1,27.2,1,43,정상,0
2026-04-13 10:27:32,INT_001,CTRL_004,63.2,2,0,42.5,114,3,42.0,0,19,정상,0
2026-04-13 10:27:32,INT_005,CTRL_006,62.8,1,1,45.7,114,0,36.4,3,19,정상,0
2026-04-13 10:27:32,INT_003,CTRL_001,58.6,0,0,47.8,85,4,34.1,1,31,정상,0
2026-04-13 10:27:32,INT_005,CTRL_006,51.5,1,0,46.4,83,1,43.0,3,36,정상,0
2026-04-13 10:27:33,INT_002,CTRL_007,44.5,0,0,45.1,110,1,38.6,3,17,정상,0
2026-04-13 10:27:33,INT_004,CTRL_003,60.3,0,1,39.0,103,1,42.2,3,43,정상,0
2026-04-13 10:27:33,INT_002,CTRL_010,67.6,2,1,52.5,101,2,38.9,1,43,정상,0
2026-04-13 10:27:33,INT_001,CTRL_010,47.2,2,0,42.0,92,1,48.4,3,31,정상,0
2026-04-13 10:27:33,INT_002,CTRL_003,46.4,1,1,45.3,104,0,34.8,2,18,정상,0
2026-04-13 10:27:33,INT_002,CTRL_010,77.0,1,1,54.6,110,2,41.6,1,26,정상,0
2026-04-13 10:27:33,INT_002,CTRL_002,42.3,1,1,38.7,108,2,21.7,3,43,정상,0
2026-04-13 10:27:33,INT_005,CTRL_004,50.7,1,1,47.1,86,0,37.3,0,14,정상,0
2026-04-13 10:27:33,INT_003,CTRL_007,19.8,1,1,47.7,90,2,41.0,1,39,정상,0
2026-04-13 10:27:33,INT_004,CTRL_006,39.3,2,1,48.0,100,3,49.4,3,10,정상,0
2026-04-13 10:27:34,INT_005,CTRL_004,42.3,2,0,46.0,114,0,35.6,3,8,정상,0
2026-04-13 10:27:34,INT_001,CTRL_006,50.3,0,0,53.4,83,4,49.5,3,28,정상,0
2026-04-13 10:27:34,INT_001,CTRL_002,49.1,0,1,46.5,97,1,39.0,1,43,정상,0
2026-04-13 10:27:34,INT_005,CTRL_006,32.5,2,0,47.8,104,0,37.9,2,12,정상,0
2026-04-13 10:27:34,INT_003,CTRL_009,47.6,0,1,45.3,110,0,25.3,1,33,정상,0
2026-04-13 10:27:34,INT_002,CTRL_007,40.6,1,0,46.6,89,3,38.2,3,43,정상,0
2026-04-13 10:27:34,INT_005,CTRL_002,36.7,2,0,43.2,105,4,33.7,2,36,정상,0
2026-04-13 10:27:34,INT_004,CTRL_009,28.5,2,0,40.4,120,0,24.6,3,18,정상,0
2026-04-13 10:27:34,INT_004,CTRL_004,49.4,2,0,43.4,88,4,43.9,1,44,정상,0
2026-04-13 10:27:34,INT_003,CTRL_010,49.5,2,0,48.9,88,1,32.0,3,30,정상,0
2026-04-13 10:27:35,INT_005,CTRL_005,40.0,2,1,42.1,120,1,48.2,3,34,정상,0
2026-04-13 10:27:35,INT_005,CTRL_001,62.5,0,1,44.8,89,4,39.5,3,39,정상,0
2026-04-13 10:27:35,INT_001,CTRL_004,52.0,2,1,40.1,105,0,48.6,2,26,정상,0
2026-04-13 10:27:35,INT_004,CTRL_007,42.3,0,0,44.7,95,0,42.5,0,37,정상,0
2026-04-13 10:27:35,INT_002,CTRL_003,62.0,0,1,48.5,93,0,32.9,1,41,정상,0
2026-04-13 10:27:35,INT_003,CTRL_008,37.6,0,1,42.3,91,2,40.0,2,19,정상,0
2026-04-13 10:27:35,INT_004,CTRL_004,60.1,0,1,49.1,90,0,53.0,0,25,정상,0
2026-04-13 10:27:35,INT_001,CTRL_006,46.5,0,0,49.4,85,0,43.3,3,29,정상,0
2026-04-13 10:27:35,INT_002,CTRL_010,52.8,2,0,45.6,86,1,49.7,1,25,정상,0
2026-04-13 10:27:35,INT_002,CTRL_006,54.9,0,1,37.5,110,4,45.1,1,8,정상,0
2026-04-13 10:27:36,INT_001,CTRL_002,55.8,1,0,46.5,103,3,42.2,2,31,정상,0
2026-04-13 10:27:36,INT_004,CTRL_006,58.6,2,0,49.1,97,4,48.1,2,12,정상,0
2026-04-13 10:27:36,INT_002,CTRL_005,57.6,2,0,46.9,97,3,54.6,2,8,정상,0
2026-04-13 10:27:36,INT_003,CTRL_003,73.7,1,0,42.7,92,4,36.9,3,27,정상,0
2026-04-13 10:27:36,INT_005,CTRL_003,37.6,0,1,46.4,104,1,32.7,1,23,정상,0
2026-04-13 10:27:36,INT_004,CTRL_002,31.8,1,0,48.9,114,4,41.9,0,20,정상,0
2026-04-13 10:27:36,INT_003,CTRL_008,51.3,1,1,42.8,115,1,47.9,2,38,정상,0
2026-04-13 10:27:36,INT_002,CTRL_006,36.6,1,0,49.8,82,3,42.1,3,12,정상,0
2026-04-13 10:27:36,INT_002,CTRL_009,60.4,0,0,43.3,96,4,38.2,2,31,정상,0
2026-04-13 10:27:36,INT_003,CTRL_006,44.7,2,1,45.0,102,2,46.2,1,42,정상,0
2026-04-13 10:27:37,INT_004,CTRL_009,42.1,2,0,44.6,92,1,23.0,2,42,정상,0
